name,founding_year,stadium
AFC Bournemouth,1899,Vitality Stadium
Arsenal,1886,Emirates Stadium
Aston Villa,1874,Villa Park
Brentford,1889,Gtech Community Stadium
Brighton & Hove Albion,1901,The American Express Community Stadium
Burnley,1882,Turf Moor
Chelsea,1905,Stamford Bridge
Crystal Palace,1905,Selhurst Park
Everton,1878,Goodison Park
Fulham,1879,Craven Cottage
Liverpool,1892,Anfield
Luton Town,1885,Kenilworth Road
Manchester City,1880,Etihad Stadium
Manchester United,1878,Old Trafford
Newcastle United,1892,St. James' Park
Nottingham Forest,1865,The City Ground
Sheffield United,1889,Bramall Lane
Tottenham Hotspur,1882,Tottenham Hotspur Stadium
West Ham United,1895,London Stadium
Wolverhampton Wanderers,1877,Molineux Stadium
