member_id,position,shirt_number,market_value_euros
29,Defender,4,35
30,Forward,7,75
31,Midfielder,10,65
32,Forward,11,55
33,Goalkeeper,1,35
34,Defender,66,75
35,Midfielder,8,70
36,Forward,9,65
37,Midfielder,3,10
38,Defender,26,40
39,Defender,2,25
40,Forward,18,55
41,Defender,5,45
42,Midfielder,17,25
43,Forward,20,35
44,Defender,78,10
45,Midfielder,38,30
46,Midfielder,19,30
47,Goalkeeper,62,12
48,Defender,84,8
49,Defender,32,5
50,Defender,21,8
51,Midfielder,42,3
52,Midfielder,43,6
53,Forward,50,3
54,Forward,76,1
55,Defender,53,2
56,Midfielder,6,5
57,Midfielder,53,1
58,Forward,49,2
60,Midfielder,16,80
61,Forward,47,110
62,Goalkeeper,31,40
63,Midfielder,19,90
64,Defender,2,13
65,Midfielder,20,80
66,Forward,9,180
67,Defender,3,75
68,Defender,25,40
69,Defender,24,75
70,Defender,6,38
71,Forward,11,50
72,Midfielder,8,35
73,Midfielder,17,70
74,Defender,5,30
75,Forward,10,65
76,Defender,82,15
77,Midfielder,27,42
78,Goalkeeper,18,8
79,Forward,52,18
80,Midfielder,4,28
81,Forward,21,10
82,Defender,14,20
83,Midfielder,80,22
84,Midfielder,87,12
86,Defender,2,60
87,Midfielder,41,90
88,Midfielder,8,85
89,Defender,4,55
90,Forward,7,120
91,Defender,6,50
92,Goalkeeper,22,28
93,Midfielder,29,60
94,Forward,11,70
95,Defender,35,40
96,Forward,19,35
97,Forward,9,75
98,Defender,15,25
99,Defender,18,30
100,Forward,14,25
101,Midfielder,20,18
102,Midfielder,5,30
103,Goalkeeper,1,40
104,Midfielder,10,28
105,Midfielder,21,22
106,Forward,24,20
107,Defender,12,45
108,Defender,17,8
109,Midfielder,25,5
110,Forward,63,2
112,Goalkeeper,13,25
113,Defender,23,35
114,Forward,7,50
115,Defender,17,60
116,Forward,21,45
117,Defender,38,40
118,Defender,37,42
119,Midfielder,29,30
120,Midfielder,10,55
121,Midfielder,8,25
122,Forward,22,40
123,Forward,9,38
124,Midfielder,30,35
125,Defender,33,10
126,Defender,12,20
127,Forward,16,22
128,Midfielder,5,18
129,Midfielder,4,18
130,Midfielder,18,20
131,Defender,6,25
132,Forward,11,15
133,Forward,27,10
134,Defender,15,8
135,Forward,14,5
136,Defender,6,12
137,Forward,36,10
138,Forward,44,5
139,Midfielder,55,1
140,Forward,63,3
142,Midfielder,23,38
143,Midfielder,25,75
144,Forward,15,30
145,Forward,20,18
146,Defender,6,35
147,Defender,6,2
148,Midfielder,8,80
149,Goalkeeper,28,14
150,Forward,7,45
151,Defender,26,40
152,Defender,3,28
153,Defender,27,20
154,Forward,10,50
155,Goalkeeper,1,22
156,Defender,5,35
157,Forward,11,28
158,Defender,14,25
159,Defender,21,32
160,Forward,19,20
161,Defender,24,45
162,Midfielder,16,15
163,Forward,18,60
164,Midfielder,17,18
165,Defender,42,5
166,Forward,26,18
167,Forward,31,12
168,Midfielder,45,25
169,Defender,36,7
170,Forward,44,2
171,Defender,50,1
172,Midfielder,56,2
173,Forward,57,1
