name,city,capacity,year_opened
Anfield,Liverpool,61276,1884
Emirates Stadium,London,60704,2006
St. James' Park,Newcastle,52305,1892
Etihad Stadium,Manchester,53400,2002
The City Ground,Nottingham,30404,2002
Villa Park,Birmingham,42918,2002
Stamford Bridge,London,40343,1877
Vitality Stadium,Bournemouth,40343,1910
Craven Cottage,London,24500,1910
American Express Stadium,Falmer,31876,2011
Gtech Community Stadium,Brentford,17250,2020
Selhurst Park,London,25486,1924
Goodison Park,Liverpool,39414,1892
Old Trafford,Manchester,74310,1909
Tottenham Hotspur Stadium,London,74310,2019
London Stadium,London,62500,2011
Molineux Stadium,Wolverhampton,31750,1889
Portman Road,Ipswich,29673,1889
King Power Stadium,Leicester,32262,2002
St. Mary's Stadium,Southampton,32384,2001
