name,city,capacity,year_opened
The American Express Community Stadium,Falmer,31876,2011
Anfield,Liverpool,61276,1884
Bramall Lane,Sheffield,32050,1855
Craven Cottage,London,24500,1910
Emirates Stadium,London,60704,2006
Etihad Stadium,Manchester,53400,2002
Gtech Community Stadium,Brentford,17250,2020
Goodison Park,Liverpool,39414,1892
Kenilworth Road,Luton,11050,1905
London Stadium,London,62500,2011
Molineux Stadium,Wolverhampton,31750,1889
Old Trafford,Manchester,74310,1909
Selhurst Park,London,25486,1924
St. James' Park,Newcastle,52305,1892
Stamford Bridge,London,40343,1877
The City Ground,Nottingham,30404,2002
Tottenham Hotspur Stadium,London,31750,2019
Turf Moor,Burnley,21944,1883
Villa Park,Birmingham,42918,1877
Vitality Stadium,Bournemouth,42918,1910
